subregion,population
miami-dade,2712945.00
broward,1909632.00
palm beach,1443810.00
hillsborough,1376238.00
orange,1314367.00
pinellas,960730.00
duval,926255.00
lee,722336.00
polk,666149.00
brevard,579130.00
volusia,529364.00
pasco,512368.00
seminole,455479.00
sarasota,412569.00
manatee,375888.00
collier,365136.00
marion,349020.00
osceola,336015.00
lake,335396.00
escambia,315187.00
st lucie,306507.00
leon,287822.00
alachua,263496.00
st johns,235087.00
clay,208311.00
okaloosa,201170.00
bay,183974.00
hernando,182835.00
charlotte,178465.00
santa rosa,170497.00
martin,158701.00
indian river,151563.00
citrus,143621.00
sumter,123996.00
flagler,108310.00
highlands,100917.00
nassau,80622.00
monroe,79077.00
putnam,72277.00
columbia,69299.00
walton,65889.00
jackson,48229.00
gadsden,46006.00
suwannee,43794.00
okeechobee,40314.00
levy,39961.00
hendry,39290.00
de soto,35800.00
wakulla,31893.00
baker,27937.00
hardee,27360.00
bradford,26926.00
washington,24569.00
taylor,22175.00
holmes,19487.00
madison,18224.00
gilchrist,17212.00
dixie,16300.00
gulf,15990.00
union,15142.00
calhoun,14423.00
hamilton,14361.00
glades,13970.00
jefferson,13906.00
franklin,11901.00
lafayette,8617.00
liberty,8202.00
